Year: 2012.0, Month: 1.0, Song Count: 14.0
Year: 2012.0, Month: 2.0, Song Count: 1.0
Year: 2012.0, Month: 3.0, Song Count: 2.0
Year: 2012.0, Month: 4.0, Song Count: 2.0
Year: 2012.0, Month: 5.0, Song Count: 1.0
Year: 2012.0, Month: 6.0, Song Count: 4.0
Year: 2012.0, Month: 7.0, Song Count: 2.0
Year: 2012.0, Month: 8.0, Song Count: 4.0
Year: 2012.0, Month: 9.0, Song Count: 6.0
Year: 2012.0, Month: 10.0, Song Count: 6.0
Year: 2012.0, Month: 11.0, Song Count: 6.0
Year: 2012.0, Month: 12.0, Song Count: 1.0
Year: 2016.0, Month: 1.0, Song Count: 3.0
Year: 2016.0, Month: 2.0, Song Count: 2.0
Year: 2016.0, Month: 3.0, Song Count: 2.0
Year: 2016.0, Month: 4.0, Song Count: 8.0
Year: 2016.0, Month: 5.0, Song Count: 9.0
Year: 2016.0, Month: 6.0, Song Count: 1.0
Year: 2016.0, Month: 7.0, Song Count: 2.0
Year: 2016.0, Month: 8.0, Song Count: 4.0
Year: 2016.0, Month: 9.0, Song Count: 3.0
Year: 2016.0, Month: 10.0, Song Count: 3.0
Year: 2016.0, Month: 11.0, Song Count: 10.0
Year: 2016.0, Month: 12.0, Song Count: 3.0
Year: 2020.0, Month: 1.0, Song Count: 3.0
Year: 2020.0, Month: 2.0, Song Count: 4.0
Year: 2020.0, Month: 3.0, Song Count: 3.0
Year: 2020.0, Month: 4.0, Song Count: 5.0
Year: 2020.0, Month: 5.0, Song Count: 4.0
Year: 2020.0, Month: 6.0, Song Count: 1.0
Year: 2020.0, Month: 7.0, Song Count: 5.0
Year: 2020.0, Month: 8.0, Song Count: 5.0
Year: 2020.0, Month: 9.0, Song Count: 3.0
Year: 2020.0, Month: 10.0, Song Count: 7.0
Year: 2020.0, Month: 11.0, Song Count: 7.0
Year: 2020.0, Month: 12.0, Song Count: 3.0
Year: 2024.0, Month: 1.0, Song Count: 3.0
Year: 2024.0, Month: 2.0, Song Count: 4.0
Year: 2024.0, Month: 3.0, Song Count: 6.0
Year: 2024.0, Month: 4.0, Song Count: 6.0
Year: 2024.0, Month: 5.0, Song Count: 6.0
Year: 2024.0, Month: 6.0, Song Count: 3.0
Year: 2024.0, Month: 7.0, Song Count: 3.0
Year: 2024.0, Month: 8.0, Song Count: 4.0
Year: 2024.0, Month: 9.0, Song Count: 5.0
Year: 2024.0, Month: 10.0, Song Count: 5.0
Year: 2024.0, Month: 11.0, Song Count: 3.0
Year: 2024.0, Month: 12.0, Song Count: 2.0
